,Url,id,year,brand,model,bodytype,drivingconfiguration,Odometer,Price
0,https:/www.kijiji.ca/v-cars-trucks/guelph/2018-subaru-impreza-sport/1480823396,1480823396,2018,Subaru,Impreza,Sedan,All-wheel drive (AWD),"28,651",23182.00
1,https:/www.kijiji.ca/v-cars-trucks/north-bay/2017-subaru-impreza-5dr-hb-cvt-touring/1488048060,1488048060,2017,Subaru,Impreza,Sedan,Other,"44,369",16995.00
2,https:/www.kijiji.ca/v-cars-trucks/st-catharines/2017-subaru-impreza-awd-nav-leather-sunroof/1429238882,1429238882,2017,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"91,029",15000.00
3,https:/www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2013-subaru-impreza-5dr-hb-cvt-2-0i-w-limited-pkg/1484787877,1484787877,2013,Subaru,Impreza,Sedan,All-wheel drive (AWD),"229,000",7390.00
4,https:/www.kijiji.ca/v-cars-trucks/ottawa/2011-subaru-impreza-2-5i-limited-pkg-awesome-deal-certified-wrty/1488487124,1488487124,2011,Subaru,Impreza,Sedan,All-wheel drive (AWD),"161,000",6990.00
5,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2012-subaru-impreza-2-0i-w-touring-pkg-open-by-appt-416-271-9996/1496696225?undefined,1496696225,2012,Subaru,Impreza,Sedan,All-wheel drive (AWD),"124,101",7500.00
6,https:/www.kijiji.ca/v-cars-trucks/ottawa/2010-subaru-wrx-sti-hatch/1498977978?undefined,1498977978,2010,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"120,335",16500.00
7,https:/www.kijiji.ca/v-cars-trucks/gatineau/subaru-impreza-2-5rs-2007/1498972026?undefined,1498972026,2007,Subaru,Impreza,Wagon,All-wheel drive (AWD),"260,000",2300.00
8,https:/www.kijiji.ca/v-cars-trucks/markham-york-region/subaru-impreza-sport-6500/1498958444?undefined,1498958444,2012,Subaru,Impreza,Sedan,All-wheel drive (AWD),"128,000",6500.00
9,https:/www.kijiji.cahttps://www.kijijiautos.ca/vip/processing/14517470/?undefined,1498956724,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,https:/www.kijiji.ca/v-cars-trucks/ottawa/2012-subaru-impreza-sport-5-dr-hatchback/1498942380?undefined,1498942380,2012,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"117,500",8995.00
11,https:/www.kijiji.ca/v-cars-trucks/ottawa/2004-subaru-impreza-safety-tested/1498936866?undefined,1498936866,2004,Subaru,Impreza,Sedan,All-wheel drive (AWD),"127,000",1990.00
12,https:/www.kijiji.ca/v-cars-trucks/ottawa/2008-subaru-impreza/1498903904?undefined,1498903904,2008,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"296,000",1000.00
13,https:/www.kijiji.ca/v-cars-trucks/ottawa/2015-subaru-impreza-2-0i-a-c-cruise-steering-wheel-audio-co/1453893544?undefined,1453893544,2015,Subaru,Impreza,Wagon,All-wheel drive (AWD),"119,100",10237.00
14,https:/www.kijiji.ca/v-cars-trucks/ottawa/subaru-impreza-sport-awd-auto-hatchback-sunroof-heated-seats/1498875637?undefined,1498875637,2009,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"156,000",5999.00
15,https:/www.kijiji.ca/v-cars-trucks/oakville-halton-region/2017-subaru-impreza-wrx-wrx-awd-6-speed-manual-camera-certified/1478673562?undefined,1478673562,2017,Subaru,Impreza,Sedan,All-wheel drive (AWD),"94,052",24395.00
16,https:/www.kijiji.ca/v-cars-trucks/oakville-halton-region/2012-subaru-impreza-premium-automatic-awd-bluetooth-certified/1490031325?undefined,1490031325,2012,Subaru,Impreza,Wagon,All-wheel drive (AWD),"148,750",8795.00
17,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2011-subaru-impreza-wrx-sti-limited-awd/1461195312?undefined,1461195312,2011,Subaru,Impreza,Sedan,All-wheel drive (AWD),"120,002",19800.00
18,https:/www.kijiji.ca/v-cars-trucks/gatineau/2008-subaru-impreza-2-5i-sport/1471958239?undefined,1471958239,2008,Subaru,Impreza,Hatchback,Other,"164,083",4900.00
19,https:/www.kijiji.ca/v-cars-trucks/cornwall-on/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1490894771?undefined,1490894771,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
20,https:/www.kijiji.ca/v-cars-trucks/ottawa/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1492121904?undefined,1492121904,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
21,https:/www.kijiji.ca/v-cars-trucks/belleville/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1490894786?undefined,1490894786,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
22,https:/www.kijiji.ca/v-cars-trucks/kingston-on/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1490894242?undefined,1490894242,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
23,https:/www.kijiji.ca/v-cars-trucks/london/2010-subaru-impreza-sport-roof-heated-seats-awd/1488840543?undefined,1488840543,2010,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"159,987",8495.00
24,https:/www.kijiji.ca/v-cars-trucks/london/2016-subaru-impreza-2-0i-cam-awd/1478356151?undefined,1478356151,2016,Subaru,Impreza,Sedan,All-wheel drive (AWD),"79,221",17995.00
25,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2010-subaru-impreza/1498833501?undefined,1498833501,2010,Subaru,Impreza,Sedan,All-wheel drive (AWD),"210,000",4499.00
26,https:/www.kijiji.ca/v-cars-trucks/barrie/2013-subaru-impreza-2-0i-w-touring-pkg/1490550308?undefined,1490550308,2013,Subaru,Impreza,Sedan,All-wheel drive (AWD),"98,132",13913.00
