,Url,id,year,brand,model,bodytype,drivingconfiguration,Odometer,Price
0,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2013-subaru-impreza-awd-bluetooth-well-maintained-sharpe-cert/1466475617,1466475617,2013,Subaru,Impreza,Hatchback,All-wheel drive (AWD),"130,014",9388.00
1,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2011-subaru-impreza-wrx-sti-limited-awd/1461195312,1461195312,2011,Subaru,Impreza,Sedan,All-wheel drive (AWD),"120,002",19800.00
2,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2012-subaru-impreza-2-0i-w-touring-pkg-open-by-appt-416-271-9996/1496696225,1496696225,2012,Subaru,Impreza,Sedan,All-wheel drive (AWD),"124,101",7500.00
3,https:/www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2013-subaru-impreza-5dr-hb-cvt-2-0i-w-limited-pkg/1484787877,1484787877,2013,Subaru,Impreza,Sedan,All-wheel drive (AWD),"229,000",7390.00
4,https:/www.kijiji.ca/v-cars-trucks/north-bay/2017-subaru-impreza-5dr-hb-cvt-touring/1488048060,1488048060,2017,Subaru,Impreza,Sedan,Other,"44,369",16995.00
5,https:/www.kijiji.ca/v-cars-trucks/oakville-halton-region/2012-subaru-impreza-premium-automatic-awd-bluetooth-certified/1490031325?undefined,1490031325,2012,Subaru,Impreza,Wagon,All-wheel drive (AWD),"148,750",8795.00
6,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2011-subaru-impreza-wrx-sti-limited-awd/1461195312?undefined,1461195312,2011,Subaru,Impreza,Sedan,All-wheel drive (AWD),"120,002",19800.00
7,https:/www.kijiji.ca/v-cars-trucks/gatineau/2008-subaru-impreza-2-5i-sport/1471958239?undefined,1471958239,2008,Subaru,Impreza,Hatchback,Other,"164,083",4900.00
8,https:/www.kijiji.ca/v-cars-trucks/city-of-toronto/2012-subaru-impreza-2-0i-w-touring-pkg-open-by-appt-416-271-9996/1496696225?undefined,1496696225,2012,Subaru,Impreza,Sedan,All-wheel drive (AWD),"124,101",7500.00
9,https:/www.kijiji.ca/v-cars-trucks/cornwall-on/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1490894771?undefined,1490894771,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
10,https:/www.kijiji.ca/v-cars-trucks/ottawa/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1492121904?undefined,1492121904,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
11,https:/www.kijiji.ca/v-cars-trucks/belleville/2017-subaru-impreza-5dr-hb-cvt-convenience-bluetooth/1490894786?undefined,1490894786,2017,Subaru,Impreza,Wagon,All-wheel drive (AWD),"55,500",20495.00
